Season,Daynum,Outcome,Wteam,Wscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf
2005,152,Win,1228,72,N,0,27,56,12,30,6,8,10,28,21,7,4,0,12
2005,152,Win,1314,87,N,0,35,71,6,20,11,17,13,38,18,13,5,6,17
2005,154,Win,1314,75,N,0,27,52,9,16,12,19,8,26,12,10,4,2,13
2006,134,Win,1284,71,N,0,27,61,10,26,7,9,7,31,21,9,2,10,11
2006,136,Win,1104,90,N,0,28,55,12,23,22,31,16,16,15,14,4,3,17
2006,136,Win,1130,88,N,2,29,57,6,23,24,29,7,23,22,8,12,2,16
2006,136,Win,1181,70,N,0,24,49,5,15,17,20,9,26,15,20,9,8,11
2006,136,Win,1196,76,N,0,29,59,10,25,8,10,8,31,21,11,8,7,9
2006,136,Win,1203,88,N,1,31,66,10,22,16,22,15,19,16,10,6,1,20
2006,136,Win,1211,79,N,0,26,50,6,12,21,27,8,25,11,10,4,4,25
2006,136,Win,1228,78,N,0,29,50,8,22,12,14,7,21,17,11,6,1,17
2006,136,Win,1231,87,N,0,35,71,8,26,9,16,15,16,14,9,11,0,16
2006,136,Win,1261,80,N,0,27,51,5,10,21,27,9,30,16,18,8,11,17
2006,136,Win,1285,87,N,0,29,56,6,12,23,27,10,22,18,8,2,2,12
2006,136,Win,1397,63,N,0,24,53,5,21,10,14,11,22,12,13,6,6,15
2006,136,Win,1401,66,N,0,20,56,7,20,19,22,14,24,14,10,8,5,19
2006,136,Win,1417,78,N,0,30,56,4,13,14,17,9,36,20,14,11,4,14
2006,136,Win,1449,75,N,0,28,59,12,27,7,8,5,17,16,7,11,1,14
2006,136,Win,1454,82,N,0,25,55,6,20,26,32,10,22,13,12,8,1,15
2006,136,Win,1455,86,N,0,27,57,10,22,22,32,14,30,19,15,6,3,20
2006,137,Win,1112,94,N,0,35,59,5,10,19,23,11,25,19,9,9,6,19
2006,137,Win,1133,77,N,0,23,52,11,21,20,32,11,24,17,16,6,1,17
2006,137,Win,1137,59,N,0,17,44,11,21,14,18,8,21,10,14,10,2,17
2006,137,Win,1163,72,N,0,27,46,8,16,10,13,7,21,17,16,6,5,9
2006,137,Win,1206,75,N,0,29,49,5,12,12,26,10,30,7,14,4,6,10
2006,137,Win,1207,54,N,0,20,46,5,19,9,14,8,24,15,9,4,4,12
2006,137,Win,1246,69,N,0,19,61,5,25,26,30,20,27,12,8,2,3,16
2006,137,Win,1272,94,N,0,37,61,11,22,9,16,12,21,16,13,10,2,21
2006,137,Win,1301,58,N,0,21,42,5,16,11,17,7,18,10,11,5,1,15
2006,137,Win,1314,69,N,0,22,48,5,18,20,25,12,25,15,17,10,3,12
2006,137,Win,1322,64,N,0,23,60,9,23,9,14,14,17,17,11,9,4,21
2006,137,Win,1326,70,N,0,26,65,5,22,13,23,15,28,10,4,2,4,13
2006,137,Win,1338,79,N,0,31,46,6,14,11,15,4,24,18,12,4,7,13
2006,137,Win,1400,60,N,0,18,45,2,10,22,26,14,28,7,11,4,6,14
2006,137,Win,1437,58,N,0,16,52,7,25,19,23,15,25,7,13,13,1,17
2006,137,Win,1452,64,N,0,22,50,11,32,9,11,9,22,15,11,8,3,10
2006,138,Win,1130,69,N,0,27,63,8,17,7,9,15,29,16,8,2,9,11
2006,138,Win,1181,74,N,0,21,44,6,16,26,37,9,30,12,18,4,10,15
2006,138,Win,1196,82,N,0,30,56,8,20,14,19,10,31,17,10,6,7,19
2006,138,Win,1211,90,N,0,28,61,2,11,32,41,14,27,13,7,9,2,14
2006,138,Win,1261,58,N,0,19,54,2,12,18,23,12,23,5,13,4,6,12
2006,138,Win,1417,62,N,0,24,47,9,25,5,13,7,14,17,11,5,4,20
2006,138,Win,1449,67,N,0,17,45,5,15,28,39,8,27,8,11,5,5,17
2006,138,Win,1455,80,N,0,24,48,9,15,23,29,9,25,16,13,3,2,12
2006,139,Win,1133,72,N,0,22,59,2,6,26,32,16,24,14,8,8,2,16
2006,139,Win,1163,87,N,0,31,62,4,13,21,30,13,22,16,12,7,1,16
2006,139,Win,1206,65,N,0,23,58,4,16,15,19,11,27,14,8,7,2,8
2006,139,Win,1207,70,N,0,27,58,6,14,10,12,12,25,18,8,6,5,10
2006,139,Win,1272,72,N,0,23,48,7,16,19,26,7,18,15,9,10,2,20
2006,139,Win,1400,75,N,0,26,56,8,19,15,19,9,29,17,10,8,3,14
2006,139,Win,1437,82,N,0,28,52,9,19,17,20,12,19,13,13,6,4,19
2006,139,Win,1452,67,N,0,18,46,7,22,24,33,8,20,11,14,13,2,15
2006,143,Win,1261,62,N,0,24,61,2,7,12,23,16,29,14,15,7,9,16
2006,143,Win,1272,80,N,0,31,60,6,15,12,18,11,30,11,13,10,7,18
2006,143,Win,1400,74,N,0,28,58,4,19,14,20,17,28,19,13,8,1,12
2006,143,Win,1417,73,N,0,23,57,6,21,21,30,12,20,12,10,5,4,22
2006,144,Win,1163,98,N,1,27,51,10,19,34,47,10,32,15,26,7,5,20
2006,144,Win,1196,57,N,0,19,45,5,13,14,17,9,22,7,12,4,8,14
2006,144,Win,1206,63,N,0,20,44,8,16,15,23,2,30,12,9,5,5,16
2006,144,Win,1437,60,N,1,21,60,4,19,14,20,15,21,9,11,11,2,21
2006,145,Win,1261,70,N,1,28,66,3,18,11,16,9,33,18,10,8,7,13
2006,145,Win,1417,50,N,0,14,40,2,8,20,39,13,23,7,17,4,2,14
2006,146,Win,1196,75,N,0,22,54,4,17,27,31,19,34,14,16,2,8,22
2006,146,Win,1206,86,N,1,30,60,9,18,17,25,15,22,13,11,6,2,17
2006,152,Win,1196,73,N,0,23,53,12,25,15,19,16,24,8,15,5,4,12
2006,152,Win,1417,59,N,0,21,51,5,18,12,17,15,27,10,17,10,5,24
2006,154,Win,1196,73,N,0,26,58,6,19,15,20,9,26,21,6,7,10,13
2007,134,Win,1310,77,N,0,24,62,8,27,21,28,17,25,10,11,5,2,17
2007,136,Win,1130,84,N,0,30,57,8,20,16,20,11,24,16,8,3,9,10
2007,136,Win,1139,57,N,0,19,46,9,24,10,16,9,26,11,11,6,3,15
2007,136,Win,1207,80,N,0,29,53,7,16,15,20,12,27,17,12,9,4,16
2007,136,Win,1231,70,N,0,23,58,9,25,15,16,12,33,15,13,3,2,14
2007,136,Win,1257,78,N,0,25,51,7,17,21,28,8,18,12,13,11,1,25
2007,136,Win,1268,82,N,0,31,68,6,17,14,19,19,35,19,22,8,4,15
2007,136,Win,1277,61,N,0,22,41,4,10,13,15,4,24,17,15,6,3,18
2007,136,Win,1314,86,N,0,37,57,6,13,6,11,11,27,24,22,7,6,8
2007,136,Win,1326,78,N,0,28,54,11,20,11,18,9,26,14,10,5,2,5
2007,136,Win,1338,79,N,0,30,55,10,21,9,14,8,36,21,17,3,7,12
2007,136,Win,1401,68,N,0,24,51,5,13,15,27,11,29,10,8,4,5,13
2007,136,Win,1417,70,N,0,27,58,10,19,6,9,13,22,18,13,6,5,18
2007,136,Win,1433,79,N,0,26,61,9,16,18,24,14,17,14,11,13,1,26
2007,136,Win,1435,77,N,0,26,61,12,31,13,16,15,26,22,11,6,3,22
2007,136,Win,1450,70,N,0,27,57,5,13,11,12,11,25,12,6,3,8,16
2007,136,Win,1462,79,N,0,24,56,8,17,23,29,13,24,12,10,3,4,19
2007,137,Win,1196,112,N,0,43,73,10,28,16,27,24,38,27,12,5,6,13
2007,137,Win,1242,107,N,0,40,74,13,22,14,26,13,37,29,12,14,7,26
2007,137,Win,1246,67,N,0,20,44,5,19,22,31,10,27,12,11,5,5,18
2007,137,Win,1272,73,N,0,25,62,4,16,19,27,20,25,12,16,6,8,19
2007,137,Win,1305,77,N,1,28,62,7,20,14,17,15,33,16,19,2,9,16
2007,137,Win,1332,58,N,0,19,44,5,16,15,17,4,20,10,5,3,1,12
2007,137,Win,1345,72,N,0,24,63,5,17,19,29,19,20,10,8,12,1,18
2007,137,Win,1356,61,N,0,18,41,2,12,23,30,9,19,11,18,9,3,21
2007,137,Win,1397,121,N,0,43,73,14,27,21,30,16,27,25,6,11,4,20
2007,137,Win,1400,79,N,0,25,51,4,16,25,26,9,21,11,15,8,4,14
2007,137,Win,1424,67,N,0,19,60,8,30,21,27,24,20,15,9,5,5,20
2007,137,Win,1425,77,N,0,25,50,4,13,23,25,9,30,10,12,8,5,18
2007,137,Win,1438,84,N,0,30,56,9,17,15,18,15,26,16,8,3,5,14
2007,137,Win,1439,54,N,0,15,42,6,14,18,28,4,18,11,9,11,4,12
2007,137,Win,1457,74,N,0,28,62,8,21,10,19,10,33,20,13,5,6,16
2007,137,Win,1458,76,N,0,22,55,7,20,25,30,11,23,13,10,8,4,21
2007,138,Win,1139,62,N,0,23,52,12,26,4,6,8,15,14,12,10,0,15
2007,138,Win,1207,62,N,0,22,52,4,16,14,19,17,21,12,10,6,7,14
2007,138,Win,1314,81,N,0,25,52,6,16,25,34,14,26,12,10,6,3,17
2007,138,Win,1326,78,N,1,26,63,9,21,17,20,12,33,10,14,5,6,19
2007,138,Win,1338,84,N,1,31,57,6,12,16,27,14,28,20,16,5,6,17
2007,138,Win,1401,72,N,0,19,41,5,8,29,39,6,19,9,11,6,1,23
2007,138,Win,1417,54,N,0,17,47,2,9,18,24,9,29,10,10,6,2,19
2007,138,Win,1435,78,N,2,27,63,10,27,14,18,11,28,13,17,12,2,17
2007,139,Win,1196,74,N,0,21,42,5,18,27,31,7,24,11,15,7,4,14
2007,139,Win,1242,88,N,0,30,53,10,16,18,23,9,21,19,11,7,5,21
2007,139,Win,1272,78,N,0,23,59,6,17,26,34,16,24,10,10,7,5,16
2007,139,Win,1332,75,N,0,27,56,11,23,10,12,10,21,8,10,4,0,13
2007,139,Win,1356,63,N,0,19,43,12,21,13,23,6,24,11,9,5,3,19
2007,139,Win,1397,77,N,0,22,54,11,26,22,32,12,27,12,16,7,0,25
2007,139,Win,1424,74,N,0,24,52,10,20,16,20,6,27,12,9,3,2,22
2007,139,Win,1425,87,N,0,27,59,6,16,27,38,13,30,13,10,6,2,16
2007,143,Win,1242,61,N,0,25,42,1,6,10,19,6,20,16,19,9,1,16
2007,143,Win,1272,65,N,0,23,54,5,17,14,21,11,20,8,8,2,6,15
2007,143,Win,1326,85,N,0,27,51,8,22,23,35,8,25,13,8,3,5,17
2007,143,Win,1417,64,N,0,18,42,5,13,23,26,6,27,10,14,1,2,18
2007,144,Win,1196,65,N,0,17,34,8,19,23,28,6,21,9,13,1,6,16
2007,144,Win,1207,66,N,0,25,56,8,19,8,14,16,24,14,11,3,3,18
2007,144,Win,1314,74,N,0,30,77,2,14,12,17,20,26,11,9,6,4,14
2007,144,Win,1332,76,N,0,23,48,13,23,17,22,7,30,11,17,4,3,20
2007,145,Win,1326,92,N,0,26,51,5,17,35,41,9,25,9,8,8,2,15
2007,145,Win,1417,68,N,0,24,45,8,17,12,18,10,21,12,25,15,3,14
2007,146,Win,1196,85,N,0,23,48,11,24,28,43,15,24,10,18,5,5,14
2007,146,Win,1207,96,N,1,38,66,8,14,12,18,11,27,26,10,4,11,18
2007,152,Win,1196,76,N,0,24,45,9,22,19,31,8,35,10,16,2,6,17
2007,152,Win,1326,67,N,0,25,57,4,14,13,19,16,21,13,8,8,3,10
2007,154,Win,1196,84,N,0,26,53,10,18,22,25,10,28,11,15,5,3,19
2008,134,Win,1291,69,N,0,19,55,5,20,26,32,13,28,10,11,7,3,16
2008,136,Win,1181,71,N,0,25,58,6,21,15,21,13,27,9,15,11,2,17
2008,136,Win,1242,85,N,0,33,61,12,25,7,15,15,23,21,11,10,3,15
2008,136,Win,1243,80,N,0,29,60,7,16,15,26,21,23,15,13,7,1,21
2008,136,Win,1266,74,N,0,23,52,5,13,23,29,15,19,10,7,5,3,18
